periodo,ecommerce,marca,producto,precio.antes,precio.actual,pulgadas,rango,descuento
2017,falabella,sony,"led 65"" 4k uhd 3d an...",13999,8999,65,"> S/.4,500",-0.357168369
2017,falabella,lg,led 65'' super uhd 4...,14999,8799,65,"> S/.4,500",-0.413360891
2017,falabella,samsung,"led 65"" uhd curvo sm...",8999,6599,65,"> S/.4,500",-0.2666963
2017,falabella,samsung,"led 65"" super ultra ...",14999,10999,65,"> S/.4,500",-0.266684446
2017,falabella,sony,"led 65"" 4k ultra hd ...",9999,6499,65,"> S/.4,500",-0.350035004
2017,linio,samsung,espectacular tv samsung smart tv curvo ultra hd 4k 65'' tizen un65ku6300 - negro,7999,5999,65,"> S/.4,500",-0.250031254
2017,linio,samsung,"televisor samsung un65js9000 curvo suhd 3d smart  65""-plateado",15629,12499,65,"> S/.4,500",-0.200268731
2017,linio,samsung,samsung tv curved smart 3d suhd tizen 65'' un65js9000 - plateado,13999,11699,65,"> S/.4,500",-0.16429745
2017,linio,sony,"televisor sony android ultra hd 4k 65"" hdr triluminos motion flow xr960 ultra slim xbr-65x935d",13000,10400,65,"> S/.4,500",-0.2
2017,linio,sony,"televisor sony android tv ultra hd 4k smart 65"" triluminos motion flow xr960 xbr-65x855d",9999,7700,65,"> S/.4,500",-0.229922992
2017,linio,samsung,televisor smart tv  samsung un65ku6300  led 65'',8999,5599,65,"> S/.4,500",-0.377819758
2017,linio,samsung,"samsung - televisor led ultra hd smart 65"" un65ku6300 - gris",10379,8299,65,"> S/.4,500",-0.200404663
2017,linio,sony,"sony - televisor led 65"" 4k smart con android xbr-65x805c ‚<U+0080><U+0093> gris",8339,6669,65,"> S/.4,500",-0.200263821
2017,linio,jvc,"smart tv 65"" jvc lt-65kb66 con android",NA,4517.6,65,"> S/.4,500",NA
2017,linio,sony,"sony android tv ultra hd 4k smart 65"" triluminos motion flow xr960 xbr-65x855d",7999,6921,65,"> S/.4,500",-0.134766846
2017,linio,samsung,samsung - tv led smart curvo 3d ultra hd 65‚<U+0080>ù un65hu9000 - gris,14999,12999,65,"> S/.4,500",-0.133342223
2017,linio,sony,"sony android tv led smart 3d full hd 65"" motion flow xr960 kdl-65w855c",5999,4799,65,"> S/.4,500",-0.200033339
2017,linio,sony,"sony android tv ultra hd 4k  65"" hdr triluminos motion flow xr960 ultra slim xbr-65x935d",13999,9999,65,"> S/.4,500",-0.285734695
2017,linio,NA,"minix neo z64 intel windows 10 mini pc w / 2 gb de ram, 32 gb de rom (enchufe de la ue)",1086,543,64,"S/.500 -
 S/.1500",-0.5
2016,ripley,samsung,samsung smart tv led 60'' full hd 60j6300,3999,3599,60,"S/.3500 -
 S/.4500",-0.100025006
2016,ripley,sharp,sharp smart tv led 60'' 4k lc60ue30u,5999,4699,60,"> S/.4,500",-0.216702784
2016,ripley,lg,"lg smart tv led 60"" ultra hd tv 60uh6500",4999,4599,60,"> S/.4,500",-0.080016003
2016,ripley,lg,lg smart tv led 60'' uhd 60uf7700,5799,3999,60,"S/.3500 -
 S/.4500",-0.310398345
2016,ripley,lg,"lg smart tv 60"" uhd 3d 60uf8500",7999,5099,60,"> S/.4,500",-0.362545318
2016,falabella,lg,"led 60"" ultra hd sma...",6999,4799,60,"> S/.4,500",-0.314330619
2016,linio,samsung,samsung tv led smart tizen ultra hd 4k 60'' tizen un60ju6500  - negro,5999,4299,60,"S/.3500 -
 S/.4500",-0.283380563
2016,linio,lg,televisor lg led webos smart ultra hd  60„¢‚Ä‚ô„¢‚Ä‚ô 60uf7700 - negro,4999,4299,60,"S/.3500 -
 S/.4500",-0.140028006
2016,linio,samsung,samsung tv led smart tizen full hd 60'' un60j6300 - negro.,4499,3499,60,"S/.2500 -
 S/.3500",-0.222271616
2017,ripley,lg,LG SMART TV UHD 60‚<U+0080>ù 60UH6500,6999,4299,60,"S/.3500 -
 S/.4500",-0.385769396
2017,ripley,samsung,SAMSUNG SMART TV FHD 60'' 60J6300,3999,2599,60,"S/.2500 -
 S/.3500",-0.350087522
2017,ripley,sony,"SONY TV SMART LED 60"" FHD KDL-60W605B",4999,2999,60,"S/.2500 -
 S/.3500",-0.400080016
2017,ripley,samsung,"SAMSUNG SMART TV SUHD 60"" 60KS7000",7999,5999,60,"> S/.4,500",-0.250031254
2017,falabella,samsung,"led 60"" uhd smart tv...",6999,3599,60,"S/.3500 -
 S/.4500",-0.485783683
2017,falabella,lg,"led 60"" uhd smart tv...",6099,3499,60,"S/.2500 -
 S/.3500",-0.426299393
2017,falabella,samsung,"led 60"" suhd smart t...",7999,5999,60,"> S/.4,500",-0.250031254
2017,linio,lg,"lg tv smart ultra hd 60""  60uh6150  - negro",5000,4199,60,"S/.3500 -
 S/.4500",-0.1602
2017,linio,samsung,tv led samsung un60j6300ag smart tizen full hd 60'' - negro,4999,2999,60,"S/.2500 -
 S/.3500",-0.400080016
2017,linio,NA,"cybertel - parlantes 2.1,radio fm,usb, 60 wats, p/ tv, pc, laptop",129.99,89.99,60,< S/.500,-0.307715978
2017,linio,samsung,"samsung - televisor led full hd 60"" smart un60j6300 - negro",4089,3269,60,"S/.2500 -
 S/.3500",-0.200538029
2017,linio,samsung,"samsung - televisor led ultra hd smart 60"" un60ku6000 ‚<U+0080><U+0093> negro",9379,7499,60,"> S/.4,500",-0.200447809
2017,linio,lg,lg tv plasma full hd 60'' - 60pb5600,NA,2499,60,"S/.1500 -
 S/.2500",NA
2017,linio,samsung,"samsung - tv led smart 3d 60"" - un60h6400ag",NA,4799,60,"> S/.4,500",NA
2017,linio,samsung,samsung tv led smart tizen full hd 60'' un60j6300 - negro,3899,2799,60,"S/.2500 -
 S/.3500",-0.282123621
2017,linio,sony,sony - tv led smart 3d smart full hd 60'' - 60w855b,NA,5999,60,"> S/.4,500",NA
2017,linio,panasonic,"panasonic - televisor led uhd 4k 60"" smart tc-60cx700w - gris",6779,5419,60,"> S/.4,500",-0.20061956
2017,linio,lg,tv led lg ultra hd 60uh6150  smart tv  4k webos 3.0 - plateado,4399,3199,60,"S/.2500 -
 S/.3500",-0.27278927
2017,linio,lg,"lg - televisor led ultra hd 4k 60"" smart 60uh6500 ‚<U+0080><U+0093> gris",6489,5189,60,"> S/.4,500",-0.200339035
2016,ripley,lg,"lg tv smart super uhd 4k 58"" web os 3 58uh6299",4699,4499,58,"S/.3500 -
 S/.4500",-0.042562247
2016,falabella,lg,"led 58"" 58uf8300 web...",5999,3999,58,"S/.3500 -
 S/.4500",-0.333388898
2016,linio,aoc,"aoc - tv led 58"" full hd le58f1352 - negro",2699,2299,58,"S/.1500 -
 S/.2500",-0.148203038
2016,linio,aoc,"aoc tv led full hd 58"" le58f1552",2999,2339,58,"S/.1500 -
 S/.2500",-0.220073358
2017,ripley,lg,LG SMART TV UHD 58‚<U+0080>ù 58UH6300,NA,3499,58,"S/.2500 -
 S/.3500",NA
2017,linio,aoc,"aoc tv led full hd 58"" le58f1552",2999,2539,58,"S/.2500 -
 S/.3500",-0.153384461
2017,linio,aoc,"aoc - tv led 58"" full hd le58f1352 - negro",2699,1599,58,"S/.1500 -
 S/.2500",-0.407558355
2016,ripley,lg,"lg tv smart uhd 55"" web os 3 55uh6150",3699,3299,55,"S/.2500 -
 S/.3500",-0.108137334
2016,ripley,haier,"haier tv led 55"" full hd le55b8000",1999,1599,55,"S/.1500 -
 S/.2500",-0.20010005
2016,ripley,aoc,aoc smart tv led full hd 55'' le55f1761,2599,2199,55,"S/.1500 -
 S/.2500",-0.153905348
2016,ripley,lg,"lg smart tv led 55"" ultra hd tv 55uh6500",3999,3699,55,"S/.3500 -
 S/.4500",-0.075018755
2016,ripley,panasonic,"panasonic smart tv led 55"" uhd tc-55cx640w",4999,3999,55,"S/.3500 -
 S/.4500",-0.200040008
2016,ripley,lg,"lg smart tv led 55"" super uhd 3d 4k 55uh8500",5499,5199,55,"> S/.4,500",-0.054555374
2016,ripley,sony,"sony tv led ultra delgado 55""  4k xbr-55x905c",8999,6999,55,"> S/.4,500",-0.222246916
2016,ripley,lg,lg smart tv oled full hd 55'' 3d curvo 55eg9100,9999,6399,55,"> S/.4,500",-0.360036004
2016,ripley,lg,"lg smart tv 55""Ä‚ù uhd 3d 55uf9500",9699,6499,55,"> S/.4,500",-0.329930921
2016,ripley,samsung,samsung smart tv led 55'' super uhd curvo 55ks9000,NA,10999,55,"> S/.4,500",NA
2016,falabella,lg,"oled 55eg9100 55"" we...",9999,6999,55,"> S/.4,500",-0.300030003
2016,falabella,aoc,"led full hd 55"" smar...",2599,2199,55,"S/.1500 -
 S/.2500",-0.153905348
2016,falabella,lg,"led 55"" super ultra ...",5999,5199,55,"> S/.4,500",-0.133355559
2016,falabella,sony,"led 55"" kdl55w805c",4999,3999,55,"S/.3500 -
 S/.4500",-0.200040008
2016,falabella,samsung,"led 55"" 55j5500",3499,2399,55,"S/.1500 -
 S/.2500",-0.314375536
2016,falabella,sony,"led 55"" android tv x...",5999,4499,55,"S/.3500 -
 S/.4500",-0.250041674
2016,falabella,lg,"led 55"" ultra hd web...",4299,3399,55,"S/.2500 -
 S/.3500",-0.209351012
2016,falabella,samsung,"led 55"" super ultra ...",NA,10999,55,"> S/.4,500",NA
