"ecommerce","marca","producto","precio.antes","precio.actual","pulgadas","rangos"
"ripley","sony","sony tv led ultra delgado 55""  4k xbr-55x905c",8999,6999,55,"> S/.4,500"
"ripley","sony","sony tv led 4k 65'' xbr-65x805c",8999,6999,65,"> S/.4,500"
"ripley","sony","sony tv led ultra delgado 65"" ultra hd 4k xbr-65x905c",12999,9999,65,"> S/.4,500"
"ripley","sony","sony tv led 75"" 4k 3d xbr-75x945c",24999,19999,75,"> S/.4,500"
"ripley","haier","haier tv led le40b8000 full hd 40""",1099,899,40,"S/.500 - S/.1500"
"ripley","samsung","samsung smart tv led uhd 55"" 55ju6500",4299,3399,55,"S/.2500 - S/.3500"
"ripley","haier","haier televisor led 28"" hd le28f6600",599,549,28,"S/.500 - S/.1500"
"ripley","lg","lg tv led 55"" smart uhd 55uf7700",4999,3999,55,"S/.3500 - S/.4500"
"ripley","panasonic","panasonic smart tv led 55"" uhd tc-55cx640w",4999,3999,55,"S/.3500 - S/.4500"
"ripley","sharp","sharp smart tv led 80'' uhd lc80ue30u",14999,14499,80,"> S/.4,500"
"ripley","sharp","sharp smart tv led 70'' 4k lc70ue30u",NA,7599,70,"> S/.4,500"
"ripley","sharp","sharp smart tv led 60'' 4k lc60ue30u",5999,5699,60,"> S/.4,500"
"ripley","haier","haier smart tv 40"" hd le40k5000n",1299,999,40,"S/.500 - S/.1500"
"ripley","haier","haier smart tv  32'' le32k5000n",999,799,32,"S/.500 - S/.1500"
"ripley","haier","haier tv le24b8000 led hd 24"" - negro",499,439,24,"< S/.500"
"ripley","haier","haier tv led 55"" full hd le55b8000",NA,1999,55,"S/.1500 - S/.2500"
"ripley","samsung","samsung smart tv ultra hd 65'' 3d 65ju7500",9999,6999,65,"> S/.4,500"
"ripley","lg","lg smart tv 55""Ä‚ù uhd 3d 55uf9500",9699,4899,55,"> S/.4,500"
"ripley","samsung","samsung smart tv  uhd 55'' 3d 55js9000",10999,6999,55,"> S/.4,500"
"ripley","panasonic","panasonic tv led full hd 40'' tc-40cs600l",1699,1599,40,"S/.1500 - S/.2500"
"ripley","samsung","samsung smart tv curvo 55ju7500 led uhd 55"" 3d - negro",6999,4999,55,"> S/.4,500"
"ripley","lg","lg smart tv 60"" uhd 3d 60uf8500",7999,4899,60,"> S/.4,500"
"ripley","panasonic","panasonic led 43"" fhd smart tv tc-43cs630",1999,1699,43,"S/.1500 - S/.2500"
"ripley","aoc","aoc tv led 40"" full hd le40f1551",NA,999,40,"S/.500 - S/.1500"
"ripley","sony","sony tv led 32"" hd 32r305c",1199,949,32,"S/.500 - S/.1500"
"ripley","lg","lg tv led hd 32'' 32lf510b",999,899,32,"S/.500 - S/.1500"
"ripley","samsung","samsung smart tv led 40'' uhd 40ju6000",1999,1699,40,"S/.1500 - S/.2500"
"ripley","haier","haier tv led hd 32'' le32b7000",699,649,32,"S/.500 - S/.1500"
"ripley","sharp","sharp smart tv led full hd 70'' sq17u",8499,6499,70,"> S/.4,500"
"ripley","aoc","aoc tv led hd 32'' le32w454f",NA,799,32,"S/.500 - S/.1500"
"ripley","samsung","samsung smart tv led full hd 40'' 40j5500",2299,1399,40,"S/.500 - S/.1500"
"ripley","aoc","aoc tv led 32"" hd le32h1352",NA,799,32,"S/.500 - S/.1500"
"ripley","samsung","samsung tv led hd 32'' 32j4000",NA,899,32,"S/.500 - S/.1500"
"ripley","aoc","aoc tv led full hd 49'' le49f1361",NA,1499,49,"S/.500 - S/.1500"
"ripley","lg","lg tv led 24mt47a 23.6""",NA,569,6,"S/.500 - S/.1500"
"ripley","panasonic","panasonic tv led hd 32'' tc-32a400l",999,899,32,"S/.500 - S/.1500"
"ripley","aoc","aoc tv led hd 32'' le32w354f",NA,799,32,"S/.500 - S/.1500"
"falabella","lg","led 49"" 49lf6450",2299,2099,49,"S/.1500 - S/.2500"
"falabella","panasonic","led 40"" smart tv tc-...",NA,1699,40,"S/.1500 - S/.2500"
"falabella","lg","led 43"" 43uf6400",1999,1799,43,"S/.1500 - S/.2500"
"falabella","lg","led 84""  84ub9800",32999,17999,84,"> S/.4,500"
"falabella","lg","led 60"" ultra hd 60u...",6999,4999,60,"> S/.4,500"
"falabella","panasonic","led 50"" smart tv tc-...",NA,2699,50,"S/.2500 - S/.3500"
"falabella","lg","led 43"" 43lf6350",2099,1599,43,"S/.1500 - S/.2500"
"falabella","samsung","smart tv 55"" un55js7...",4199,3999,55,"S/.3500 - S/.4500"
"falabella","lg","led 32"" hd smart tv ...",1299,1049,32,"S/.500 - S/.1500"
"falabella","samsung","led 48"" un48j6400",2799,2299,48,"S/.1500 - S/.2500"
"falabella","samsung","led 40"" un40j6500 sm...",1579,1499,40,"S/.500 - S/.1500"
"falabella","lg","led 55"" 55lf6500",3699,2799,55,"S/.2500 - S/.3500"
"falabella","samsung","led 48"" 48j5500",2499,1999,48,"S/.1500 - S/.2500"
"falabella","lg","led 43"" 43lf5900 web...",1549,1449,43,"S/.500 - S/.1500"
"falabella","sony","led 50"" kdl50w805c",3799,2999,50,"S/.2500 - S/.3500"
"falabella","samsung","led 48"" un48ju6000",2799,2399,48,"S/.1500 - S/.2500"
"falabella","lg","led 55"" 55lf6500",3699,2799,55,"S/.2500 - S/.3500"
"falabella","lg","led 55"" 55lf6350",3199,2699,55,"S/.2500 - S/.3500"
"falabella","lg","led 49"" 49lf6450",2299,2099,49,"S/.1500 - S/.2500"
"falabella","panasonic","led 40"" smart tv tc-...",NA,1699,40,"S/.1500 - S/.2500"
"falabella","lg","led 32"" hd smart tv ...",1299,1049,32,"S/.500 - S/.1500"
"falabella","samsung","led 48"" un48ju6000",2799,2399,48,"S/.1500 - S/.2500"
"falabella","sony","led 55"" kdl55w805c",4499,3999,55,"S/.3500 - S/.4500"
"falabella","samsung","led 60"" 4k ultra hd ...",NA,4999,60,"> S/.4,500"
"falabella","hisense","led 32"" smart hd 32k...",899,799,32,"S/.500 - S/.1500"
"falabella","samsung","led 48"" 48ju6700 ult...",2899,2699,48,"S/.2500 - S/.3500"
"falabella","samsung","led 48"" 48j5500",2499,1999,48,"S/.1500 - S/.2500"
"falabella","lg","led 65"" 65ug8700  we...",10999,7999,65,"> S/.4,500"
"falabella","sony","led 50"" kdl-50fa95c",4499,3699,50,"S/.3500 - S/.4500"
"falabella","samsung","led 43"" un43ju6000",2099,1699,43,"S/.1500 - S/.2500"
"falabella","hisense","led 50"" smart ultra ...",1699,1599,50,"S/.1500 - S/.2500"
"falabella","samsung","led 40"" 40j5500",1999,1599,40,"S/.1500 - S/.2500"
"falabella","samsung","led 65"" 65js9000",11299,10999,65,"> S/.4,500"
"linio","lg","lg tv ultra hd 4k 49"" smart webos 2.0  49uf6400",3299,1799,49,"S/.1500 - S/.2500"
"linio","samsung","tv samsung ultra hd 4k smart tizen  40''  un40ju6000 - negro",2299,1499,40,"S/.500 - S/.1500"
"linio","lg","lg smart tv  webos 2.0 full hd 40"" - 40lf6350",1999,1249,40,"S/.500 - S/.1500"
"linio","lg","lg tv smart webos 2.0 ultra hd  4k 43"" - 43uf6400",2299,1599,43,"S/.1500 - S/.2500"
"linio","samsung","samsung tv led smart hd 32'' un32j4300 - negro",1299,949,32,"S/.500 - S/.1500"
"linio","lg","lg - tv led webos 3d smart full hd 42'' - 42lf6400 incluye 4 lentes 3d",2299,1399,42,"S/.500 - S/.1500"
"linio","lg","lg tv led 4k smart ultra hd 40'' 40ub8000 - negro",2299,1599,40,"S/.1500 - S/.2500"
"linio","samsung","samsung tv led smart tizen full hd 40''  un40j5500 - plateado",1999,1349,40,"S/.500 - S/.1500"
"linio","sony","sony - tv led smart full hd 48'' - 48r555c",2399,1799,48,"S/.1500 - S/.2500"
"linio","sony","sony android tv smart 3d 50"" kdl-50w805c",3799,2599,50,"S/.2500 - S/.3500"
"linio","sony","sony - tv  led 3d wi-fi full hd 55"" - kdl-55w955a",4999,4029,55,"S/.3500 - S/.4500"
"linio","samsung","samsung tv led smart full hd 50'' un50j5500 - plateado",2799,1899,50,"S/.1500 - S/.2500"
"linio","samsung","samsung tv led 3d smart full hd 48'' - 48j6400",2499,2029,48,"S/.1500 - S/.2500"
"linio","samsung","samsung tv led 3d smart full hd 40'' tizen un40j6400 - negro",2299,1499,40,"S/.500 - S/.1500"
"linio","lg","lg smart tv 32"" hd webos 2.0 32lf595.",1099,939,32,"S/.500 - S/.1500"
"linio","lg","combo smart - lg tv led 4k ultra hd 43'' - 43uf6750 + google chromecast hdmi streaming media player h2g2-42",2599,1799,43,"S/.1500 - S/.2500"
"linio","lg","lg game tv led full hd 49"" - 49lf5410",2499,1499,49,"S/.500 - S/.1500"
"linio","lg","lg tv led hd 32"" - 32lf550b",1099,829,32,"S/.500 - S/.1500"
"linio","lg","lg tv led full hd 47'' - 47lb5610",2299,1499,47,"S/.500 - S/.1500"
"linio","lg","lg tv led webos 3d smart full hd 42'' - 42lf6450",2299,1699,42,"S/.1500 - S/.2500"
"linio","lg","lg smart tv webos 2.0 full hd 49'' 49lf5900 - negro",2299,1599,49,"S/.1500 - S/.2500"
