"ecommerce","marca","producto","precio.antes","precio.actual","pulgadas","rangos"
"linio","samsung","samsung smart tv 4k ultra hd 40'' - un55hu7000",5999,4499,40,"S/.3500 - S/.4500"
"linio","sony","sony - televisor led smart tv full hd 48'' kdl-48r555c ""ì negro",2449,2199,48,"S/.1500 - S/.2500"
"linio","sony","sony tv led full hd 40'' - kdl-40r354b",1599,1319,40,"S/.500 - S/.1500"
"linio","lg","lg tv led cinema 3d smart full hd 55'' - 55lb6500",3999,3379,55,"S/.2500 - S/.3500"
"linio","samsung","samsung tv led smart 3d 55'' - un55h6400a",3799,3699,55,"S/.3500 - S/.4500"
"linio","lg","lg tv led 32'' - 32lb550b",1129,899,32,"S/.500 - S/.1500"
"linio","lg","lg tv 55"" smart ultra hd 4k cinema 3d 55ub8500",5999,4699,55,"> S/.4,500"
"linio","sony","sony - televisor led 32"" kdl-32r505c - negro",1499,1279,32,"S/.500 - S/.1500"
"linio","lg","lg -tv led hd 32"" - 32lf550b",NA,1099,32,"S/.500 - S/.1500"
"linio","lg","lg tv smart  led full hd 42"" 42lf5850",NA,1899,42,"S/.1500 - S/.2500"
"linio","lg","lg - tv led ultra hd 49'' - 49uf6750",NA,2999,49,"S/.2500 - S/.3500"
"linio","samsung","samsung tv led hd 32'' - un32j4000-negro",1099,840,32,"S/.500 - S/.1500"
"linio","lg","lg -tv led hg 32"" - 32lf550b",1199,930,32,"S/.500 - S/.1500"
"linio","lg","lg tv smart  led full hd 49"" - 49lf6350",NA,2599,49,"S/.2500 - S/.3500"
"linio","samsung","samsung tv led 3d smart full hd 55'' - 55j6400",NA,3999,55,"S/.3500 - S/.4500"
"linio","panasonic","panasonic - televisor tc-l42as610 led smart full hd 42""ù- negro",1799,1549,42,"S/.1500 - S/.2500"
"linio","lg","lg tv led cinema 3d 4k smart ultra hd 55'' 55ub8500 - negro",6499,5499,55,"> S/.4,500"
"linio","samsung","televisor samsung un55j6500  curvo full hd smart 55'' - plateado",4449,3999,55,"S/.3500 - S/.4500"
"linio","lg","lg tv smart  led full hd 42"" - 42lf5850",1899,1595,42,"S/.1500 - S/.2500"
"linio","lg","lg tv led smart full hd 43'' 43lf6350 - negro",1999,1689,43,"S/.1500 - S/.2500"
"linio","lg","tv lg 49lf5400  game  led full hd 49"" +dvd lg dp132 - negro",NA,2499,49,"S/.1500 - S/.2500"
"linio","lg","televisor lg gametv  led 43'-plateado",1999,1462,43,"S/.500 - S/.1500"
"linio","samsung","tv led samsung un48j5500ag smart full hd tizen 48'' negro/plateado",2399,1819,48,"S/.1500 - S/.2500"
"linio","samsung","samsung tv led smart full hd 50'' un50j5500 - plateado",NA,2699,50,"S/.2500 - S/.3500"
"linio","samsung","samsung un40jh5005 led full hd 40""  - negro gloss",NA,1499,40,"S/.500 - S/.1500"
"linio","samsung","samsung smart tv full hd curvo 48''-plateado",NA,3099,48,"S/.2500 - S/.3500"
"linio","panasonic","panasonic - tv led 40'' - tc-40a400l",1599,1399,40,"S/.500 - S/.1500"
"linio","lg","tv lg 49lf6450 led webos 3d smart full hd 49'' - negro",NA,3499,49,"S/.2500 - S/.3500"
"linio","lg","lg tv led smart hd 32'' - 32lf585b",1299,949,32,"S/.500 - S/.1500"
"linio","samsung","televisor samsung un65js9000 curvo suhd 3d smart  65"" - plateado",13999,12099,65,"> S/.4,500"
"linio","lg","lg tv led full hd 42'' - 42lb5500",1879,1399,42,"S/.500 - S/.1500"
"linio","lg","lg tv led cinema 3d smart full hd 42'' - 42lb6500",2299,1799,42,"S/.1500 - S/.2500"
"linio","lg","tv lg 43lf6350 led smart full hd 43'' - negro",NA,1999,43,"S/.1500 - S/.2500"
"linio","lg","lg tv 3d smart 65"" super ultra hd art slim - 65uf9500",12999,10749,65,"> S/.4,500"
"linio","lg","lg - tv led webos 3d smart full hd 55'' - 55lf6500",3999,3215,55,"S/.2500 - S/.3500"
"linio","samsung","samsung tv led smart full hd 40"" - un40h5303",1799,1699,40,"S/.1500 - S/.2500"
"linio","lg","televisor lg 42"" 42ln549c  led full hd - negro",1719,1397,42,"S/.500 - S/.1500"
"linio","daewoo","daewoo - tv led 32"" l32r640ats - negro",899,799,32,"S/.500 - S/.1500"
"linio","samsung","samsung tv led smart full hd 48'' un48j5500 - plateado",2499,1999,48,"S/.1500 - S/.2500"
"linio","panasonic","televisor panasonic tv led full hd 40'' tc40cs600l -negro",NA,1699,40,"S/.1500 - S/.2500"
"linio","panasonic","tv led panasonic tc-32c400l hd 32''negro.",999,799,32,"S/.500 - S/.1500"
"linio","lg","lg tv smart led full hd 43"" - 43lf6350",NA,2099,43,"S/.1500 - S/.2500"
"linio","sony","tv led sony 48'' smart full hd -kdl-48r555c negro",2399,1899,48,"S/.1500 - S/.2500"
"linio","sony","sony -tv  led 3d wi-fi full hd 55"" - kdl-55w805a",4799,3779,55,"S/.3500 - S/.4500"
"linio","samsung","televisor samsung un50ju6500  uhd 4k smart 50'' - plateado",3499,3199,50,"S/.2500 - S/.3500"
"linio","samsung","samsung tv 3d smart full hd 55""un55h7100agxpe + teclado smart vg-kbd1000",5999,3799,55,"S/.3500 - S/.4500"
"linio","samsung","samsung - televisor 40"" led full hd hg40nb690 + estuche de c·mara digital - negro",1622,1465,40,"S/.500 - S/.1500"
"linio","lg","lg tv uhd 4k 65ub9800 smart 3d led tv c/webos 65' lentes 3d",9500,8499,65,"> S/.4,500"
"linio","lg","lg game tv led full hd 49"" - 49lf5400",2499,1749,49,"S/.1500 - S/.2500"
"linio","haier","haier tv led full hd 40"" le40b8000 - negro",1199,995,40,"S/.500 - S/.1500"
"linio","panasonic","panasonic tv led smart full hd 42'' - tc-l42as610",NA,1699,42,"S/.1500 - S/.2500"
"linio","panasonic","televisiÛn panasonic tc-l40sv7l led full-hd 40''-negro",1799,1399,40,"S/.500 - S/.1500"
"linio","sony","sony tv led full hd 55""ù- 55w955b  +  pelota de regalo",5699,4990,55,"> S/.4,500"
"linio","samsung","samsung tv led smart ultra hd 50'' tizen un50ju6500 - negro",3899,2849,50,"S/.2500 - S/.3500"
"linio","nex","blackline - tv led hd 39'' bl390led  2usb 2hdmi sonido stereo conexionpc - negro",1399,890,39,"S/.500 - S/.1500"
"linio","lg","lg - televisor led 32"" hd 32lf550b",1219,999,32,"S/.500 - S/.1500"
"linio","panasonic","televisor panasonic tvl led ultra hd 55''-negro",5399,3829,55,"S/.3500 - S/.4500"
"linio","samsung","samsung tv curved 3d smart ultra hd 65'' tizen un65ju7500 - plateado",9999,8489,65,"> S/.4,500"
"linio","sony","televisor sony tv led full hd 32''-negro",1019,919,32,"S/.500 - S/.1500"
"linio","aoc","aoc tv led hd 32"" - le32w454f +rack fijo",999,839,32,"S/.500 - S/.1500"
"linio","aoc","aoc tv led hd 23.6"" - le24w234",599,579,23.6,"S/.500 - S/.1500"
"linio","samsung","samsung - tv led smart tv 3d curve  full hd - un-48h6800ag",3399,3249,48,"S/.2500 - S/.3500"
"linio","panasonic","panasonic - televisor tc-l42as610 led smart full hd 42""ù- negro",1799,1599,42,"S/.1500 - S/.2500"
"linio","lg","lg tv smart led full hd 43"" - 43lf6350",NA,1999,43,"S/.1500 - S/.2500"
"linio","lg","lg tv smart led full hd 42"" - 42lf5850",1999,1649,42,"S/.1500 - S/.2500"
"linio","lg","lg -tv led hg 32"" - 32lf550b",1089,880,32,"S/.500 - S/.1500"
"linio","lg","lg tv led smart full hd 43'' 43lf6350 - negro",2199,1769,43,"S/.1500 - S/.2500"
"linio","samsung","samsung tv led 3d smart full hd 40'' tizen un40j6400 - negro",2129,1629,40,"S/.1500 - S/.2500"
"linio","samsung","samsung tv led 3d smart full hd 40"" - un40h6203",1990,1919,40,"S/.1500 - S/.2500"
"linio","samsung","samsung tv full hd 60"" un60fh6003 + blu ray bd-f5100.",4299,3209,60,"S/.2500 - S/.3500"
"linio","sony","sony tv led smart full hd 40'' - kdl-40w605b",NA,1799,40,"S/.1500 - S/.2500"
"linio","sony","sony tv led 32'' smart hd - 32r505c",1299,1289,32,"S/.500 - S/.1500"
"linio","samsung","samsung - tv led smart curvo 3d full hd 48""ù un48h8000 -negro.",4299,3999,48,"S/.3500 - S/.4500"
"linio","imaco","imaco - tv led hd 24"" - led24hd",NA,549,24,"S/.500 - S/.1500"
"linio","panasonic","led panasonic tc-32a400l  high definition black",1099,800,32,"S/.500 - S/.1500"
"linio","samsung","tv samsung fhd   40'' un43j5000 - negro",1599,1319,40,"S/.500 - S/.1500"
"linio","samsung","samsung tv smart full hd curvo 48'' tizen un48j6500 - plateado",2999,2629,48,"S/.2500 - S/.3500"
"linio","samsung","samsung tv led 4k ultra hd  55"" - 55f9000",8999,6499,55,"> S/.4,500"
"linio","lg","lg tv led curvo 55"" smart ultra hd 4k cinema 3d -„Ç‚†55uc9700",6999,5354,55,"> S/.4,500"
"linio","sony","tv led sony kdl-32r305c hd 32"" color - negro",NA,1199,32,"S/.500 - S/.1500"
"linio","lg","lg tv smart  led full hd 49"" - 49lf6350",2499,2176,49,"S/.1500 - S/.2500"
"linio","nex","nex - televisor led 32"" hd le3208tva - negro",999,799,32,"S/.500 - S/.1500"
"linio","lg","lg ultra hd tv 55""ù - 55ub8500",NA,5199,55,"> S/.4,500"
"linio","aoc","aoc tv led hd 32'' - le32w454f-negro",999,729,32,"S/.500 - S/.1500"
"linio","panasonic","televisor panasonic tv led full hd 40''-negro",1499,1389,40,"S/.500 - S/.1500"
"linio","samsung","samsung - televisor led smart suhd 65"" un65js9000 - plateado",13999,12099,65,"> S/.4,500"
"linio","samsung","televisiÛn samsung un50ju6500 led smart ultra hd 50""-negro",3499,3199,50,"S/.2500 - S/.3500"
"linio","lg","tv lg led full hd 43"" 43lf5100 - negro",1599,1499,43,"S/.500 - S/.1500"
"linio","lg","lg tv led webos 3d smart full hd 49'' - 49lf6450",3499,2569,49,"S/.2500 - S/.3500"
"linio","imaco","tv led imaco hd 19'' - led19hd negro",499,439,19,"< S/.500"
"linio","lg","lg - tv led webos 3d smart super ultra hd 55'' - 55uf9500",9999,6899,55,"> S/.4,500"
"linio","panasonic","televisor panasonic tvl led full hd 40''-negro",1869,1399,40,"S/.500 - S/.1500"
"linio","sony","tv led sony kdl-40r355 full hd 40"" color - negro",NA,1470,40,"S/.500 - S/.1500"
"linio","lg","lg tv led smart 4k ultra hd 55"" - 55ub8200",4199,3979,55,"S/.3500 - S/.4500"
"linio","lg","televisor lg tv smart  led 49lf6350'-negro",2499,1887,49,"S/.1500 - S/.2500"
"linio","lg","lg tv led 24""ù - 24mt45a",599,569,24,"S/.500 - S/.1500"
"linio","imaco","imaco - tv led hd 19"" - led19hd",NA,449,19,"< S/.500"
"linio","samsung","samsung tv 4k smart ultra hd 55""ù - 55f9000",8999,6499,55,"> S/.4,500"
"linio","samsung","televisor samsung un 40jh5005 led full hd",1399,1289,40,"S/.500 - S/.1500"
"linio","lg","lg game tv led full hd 49"" - 49lf5400 +dvd lg dp132",2499,2069,49,"S/.1500 - S/.2500"
"linio","samsung","samsung televisor  hg32nb460gf, 32"" led, hd, 1366 x 768",1110,990,32,"S/.500 - S/.1500"
"linio","samsung","samsung - tv smart 3d full hd 60""ù un60h7100 - negro",6299,5879,60,"> S/.4,500"
"linio","panasonic","panasonic tv led smart full hd 40'' - tc-l40sv7l",NA,1599,40,"S/.1500 - S/.2500"
"linio","samsung","samsung - televisor led 3d smarttv 46"" un-46f8000.",4499,3749,46,"S/.3500 - S/.4500"
"linio","lg","televisor lg 42lx330c 42"" led full hd 1920x1080 - negro",1485,1368,42,"S/.500 - S/.1500"
"linio","lg","tv lg 32lx330c led hd 32'' con funciones hoteleras",NA,980,32,"S/.500 - S/.1500"
"linio","lg","tv lg 47lb6500 led cinema 3d smart full hd 47''",NA,2799,47,"S/.2500 - S/.3500"
"linio","lg","lg tv led cinema 3d smart full hd 42"" 42lb7000 + bluray 3d bp325",2799,2499,42,"S/.1500 - S/.2500"
"linio","sony","sony tv led bravia 3d smart full hd 70'' - kdl-70w855b",NA,8899,70,"> S/.4,500"
"linio","samsung","samsung - tv led smart ultra hd - un50hu7000",4499,3499,50,"S/.2500 - S/.3500"
"linio","daewoo","daewoo - tv led 32"" l32r640ats - negro",899,709,32,"S/.500 - S/.1500"
"linio","samsung","samsung - tv smart 3d full hd 60""ù un60h7100 - negro",6499,5499,60,"> S/.4,500"
"linio","lg","lg - smart tv led 55""ultra hd 4k 3d - negro",5999,5082,55,"> S/.4,500"
"linio","panasonic","panasonic led smart full hd 42"" - tc-l42as610",1799,1599,42,"S/.1500 - S/.2500"
"linio","panasonic","televisor panasonic tv led full hd 40''-negro",NA,1699,40,"S/.1500 - S/.2500"
"linio","panasonic","panasonic - tv led smart full hd 42'' - tc-l42as610",1729,1489,42,"S/.500 - S/.1500"
"linio","panasonic","panasonic puerto usb led 40"" - tc-l40sv7l",1699,1499,40,"S/.500 - S/.1500"
"linio","lg","lg - tv ultra hd 4k 49"" cinema 3d - negro",4299,3129,49,"S/.2500 - S/.3500"
"linio","lg","lg - tv led webos 3d smart super ultra hd 55'' - 55uf9500",NA,6999,55,"> S/.4,500"
"linio","lg","lg tv slim ultra hd 3d webos 2.0 55'' 55uf8500 - plateado",4799,3999,55,"S/.3500 - S/.4500"
"linio","lg","lg - tv led webos 3d smart super ultra hd 55'' - 55uf9500",8999,6999,55,"> S/.4,500"
"linio","lg","lg smart  4k ultra hd 55"" - 55ub8200",3999,3699,55,"S/.3500 - S/.4500"
"linio","lg","lg - tv led ultra hd 49'' - 49uf6750",2999,2479,49,"S/.1500 - S/.2500"
"linio","samsung","tv led smart samsung un50j5500ag full hd 50''-negro-plateado",2499,1949,50,"S/.1500 - S/.2500"
"linio","samsung","samsung smart tv full hd curvo 48''-plateado",2999,2599,48,"S/.2500 - S/.3500"
"linio","sony","sony - televisor led 32"" kdl-32r505c - negro",1499,1249,32,"S/.500 - S/.1500"
"linio","lg","lg tv smart led hd 32"" 32lf585b - blanco",NA,1199,32,"S/.500 - S/.1500"
"linio","lg","lg tv slim led cinema 3d full hd 42'' 42lb6200 incluye 02 lentes 3d",NA,1799,42,"S/.1500 - S/.2500"
"linio","continental","continental - tv led 19"" celed99935,  incluye rack",NA,599,19,"S/.500 - S/.1500"
"linio","samsung","televisor samsung un40j5300ag smart tv led full hd 40''-negro",NA,1399.9,40,"S/.500 - S/.1500"
"linio","lg","lg - tv plasma full hd 60'' 60pb5600 - negro",NA,2299,60,"S/.1500 - S/.2500"
"linio","lg","lg tv led full hd 42"" sintonizador digital integrado 42ly340c - negro",NA,1399,42,"S/.500 - S/.1500"
"linio","lg","televisor lg led full hd 43"" 43lf5100 - negro",NA,1499,43,"S/.500 - S/.1500"
"linio","lg","tv led lg 32lf595b smart wi-fi webos- negro",NA,1199,32,"S/.500 - S/.1500"
"linio","lg","lg tv 49"" 4k ultrahd 49ub7000 smart-tv",NA,3500,49,"S/.2500 - S/.3500"
"linio","lg","lg tv led cinema 3d smart full hd 42'' 42lb7000 - plateado",NA,2399,42,"S/.1500 - S/.2500"
"linio","samsung","samsung tv smart full hd curvo 48'' tizen un48j6500 - plateado",NA,3099,48,"S/.2500 - S/.3500"
"linio","samsung","samsung - tv led 3d smart ultra hd 4k 55""ù un55hu8500 - negro",NA,5149,55,"> S/.4,500"
"linio","lg","lg tv led cinema 3d smart full hd 42"" 42lb6500 - incluye 4 lentes 3d",NA,2199,42,"S/.1500 - S/.2500"
"linio","samsung","samsung tv led full hd 40"" un40jh5005 - negro",NA,1499,40,"S/.500 - S/.1500"
"linio","sony","sony tv led full hd 32'' - kdl-32r304b",NA,1299,32,"S/.500 - S/.1500"
"linio","lg","lg 49ub8500 led 49"" smart 3d 4k",NA,4199,49,"S/.3500 - S/.4500"
"linio","samsung","samsung tv led smart full hd 40'' tizen un40j5300 - negro",NA,1799,40,"S/.1500 - S/.2500"
"linio","lg","lg - televisor led hd cinema 3d 32'' - 32la613b",NA,1399,32,"S/.500 - S/.1500"
"linio","sony","empaque daÌ±ado / sony bravia tv led full hd 40"" - kdl-40r475 / tv / audio / video",NA,619.83,40,"S/.500 - S/.1500"
"linio","samsung","empaque daÌ±ado / samsung tv led smart full hd ultra slim 40'' - un40h5500. / tv / audio / video",NA,840,40,"S/.500 - S/.1500"
"linio","lg","lg led cinema 3d smart full hd 50'' 50la6200.",NA,1999,50,"S/.1500 - S/.2500"
"linio","lg","lg - tv led webos 3d smart ultra hd curvo  55'' 55ug8700 - plateado",NA,6999,55,"> S/.4,500"
"linio","lg","lg tv smart  led full hd 49"" - 49lf6350",NA,2599,49,"S/.2500 - S/.3500"
"linio","sony","sony tv led full hd 40'' - kdl-40r354b",NA,1499,40,"S/.500 - S/.1500"
"linio","lg","lg - 55ub8300 led ultrahd 4k 55"" smart 3d - silver",NA,4899,55,"> S/.4,500"
"linio","lg","lg tv led full hd 47'' - 47lb5610",NA,1899,47,"S/.1500 - S/.2500"
"linio","lg","lg tv 55"" smart ultra hd 4k cinema 3d  55ub8500",NA,5999,55,"> S/.4,500"
"linio","lg","lg - tv led cinema 3d smart full hd 42'' - 42lb7000",NA,2099,42,"S/.1500 - S/.2500"
"linio","hyundai","hyundai - led smart tv 43"" fullhd android4.4 8nucleos wifi sintonizador tvdigital 4gb+ rack pared",NA,1599,43,"S/.1500 - S/.2500"
"linio","lg","empaque daÌ±ado / lg tv led cinema 3d smart full hd 42?? 42lb6500 - incluye 4 lentes 3d / tv / audio / video",NA,1025.08,42,"S/.500 - S/.1500"
"linio","aoc","aoc tv led hd 24'' - le24d3140",NA,699,24,"S/.500 - S/.1500"
"linio","aoc","aoc tv led hd 32'' - le32w454f",NA,899,32,"S/.500 - S/.1500"
"linio","lg","lg tv 3d smart led ultra hd 65"" - 65uf8500",NA,9999,65,"> S/.4,500"
"linio","lg","lg tv led 4k ultra hd 43"" - 43uf6750",NA,2299,43,"S/.1500 - S/.2500"
"linio","samsung","samsung tv led serie 5 full hd 39""ù - 39fh5005",NA,1499,39,"S/.500 - S/.1500"
"linio","lg","lg - tv led webos 3d smart full hd 55'' - 55lf6500",NA,3999,55,"S/.3500 - S/.4500"
"linio","daewoo","televisor daewoo tv led full hd 42""ù-negro",NA,1249,42,"S/.500 - S/.1500"
"linio","lg","lg tv smart webos 2.0 full hd 49"" - 49lf6350",NA,2199,49,"S/.1500 - S/.2500"
"linio","samsung","samsung tv led full hd 60"" - un60fh6003.",NA,3999,60,"S/.3500 - S/.4500"
"linio","lg","lg tv led smart hd 32"" - 32lf585b",NA,1299,32,"S/.500 - S/.1500"
"linio","sony","sony - c·mara deportiva hdr-as20 full hd wi-fi",NA,699,20,"S/.500 - S/.1500"
"linio","haier","combo haier tv led full hd 40"" le40b7500 + dongle smart tv dma6000 - negro",NA,1299,40,"S/.500 - S/.1500"
"linio","lg","lg - tv led webos smart ultra hd ultra slim 65'' 65uf7700 - negro",NA,8499,65,"> S/.4,500"
"linio","lg","lg tv led cinema 3d smart full hd 47'' - 47lb6500 incluye 4 lentes 3d",NA,2499,47,"S/.1500 - S/.2500"
"linio","lg","lg tv smart  led full hd 42"" - 42lf5850",NA,1899,42,"S/.1500 - S/.2500"
"linio","sony","sony tv led smart  full hd 60'' - kdl-60w605b",NA,3999,60,"S/.3500 - S/.4500"
"linio","samsung","samsung tv led smart ultra hd 50'' tizen un50ju6500 - negro",NA,3299,50,"S/.2500 - S/.3500"
"linio","lg","lg - tv led cinema 3d smart full hd 42'' incluye 2 lentes - 42lb6500",NA,1999,42,"S/.1500 - S/.2500"
"linio","sony","sony - tv led smart full hd 40'' - 40r555c",NA,1799,40,"S/.1500 - S/.2500"
"linio","lg","lg -tv led hd 32"" - 32lf550b - sintonizador digital integrado",NA,999,32,"S/.500 - S/.1500"
"linio","sony","sony tv led full hd 32"" - kdl-32r304b",NA,999,32,"S/.500 - S/.1500"
"linio","panasonic","panasonic - tv led smart full hd 50'' -  tc-50as600",NA,2499,50,"S/.1500 - S/.2500"
"linio","lg","lg tv smart  led full hd 60"" - 60lf6350",NA,4399,60,"S/.3500 - S/.4500"
"linio","lg","lg - tv oled curvo ultra slim smart  webos 2.0 cinema 3d 55'' - 55ec9300",NA,14999,55,"> S/.4,500"
"linio","sony","sony - tv led smart hd 32'' - 32r505c",NA,1299,32,"S/.500 - S/.1500"
"linio","lg","lg tv led cinema 3d smart full hd 42'' - 42lb7000.",NA,2399,42,"S/.1500 - S/.2500"
"linio","aoc","aoc tv led 24"" le24w454l- negro",NA,799,24,"S/.500 - S/.1500"
"linio","lg","lg tv smart  led full hd 42"" 42lf5850",NA,1899,42,"S/.1500 - S/.2500"
"linio","lg","lg tv led cinema 3d 4k smart ultra hd 49'' 49ub8500 - incluye 02 lentes 3d",NA,4499,49,"S/.3500 - S/.4500"
"linio","samsung","samsung tv led smart full hd 40'' - un40h5103",NA,1699,40,"S/.1500 - S/.2500"
"linio","samsung","samsung tv led hd 32'' un32j4000 - negro",NA,1099,32,"S/.500 - S/.1500"
"linio","lg","lg led ultrahd 4k 49"" smart 3d - 49ub8300",NA,3899,49,"S/.3500 - S/.4500"
"linio","lg","lg - home theater smart 3d blu-ray wi-fi bh9540tw - negro",NA,2999,40,"S/.2500 - S/.3500"
"linio","lg","lg tv led full hd 42'' ultra slim 42ly340c - negro",NA,1499,42,"S/.500 - S/.1500"
"linio","lg","lg tv led smart 4k ultra hd 55""  - 55ub7000",NA,3999,55,"S/.3500 - S/.4500"
"linio","aoc","televisor aoc tv led hd  32""-negro",NA,819,32,"S/.500 - S/.1500"
"linio","lg","lg tv led cinema 3d smart full hd 47'' - 47lb7200.",NA,2999,47,"S/.2500 - S/.3500"
"linio","lg","lg smart  4k ultra hd 49"" - 49ub8200",NA,2999,49,"S/.2500 - S/.3500"
