categoria;url;paginas;distribucion
Muebles y Decohogar;www.falabella.com.pe/falabella-pe/category/cat40685/Menaje-Cocina;81;?No=1280&Nrpp=16
Muebles y Decohogar;www.falabella.com.pe/falabella-pe/category/cat1450466/Menaje-Comedor;68;?No=1000&Nrpp=16
Muebles y Decohogar;www.falabella.com.pe/falabella-pe/category/cat40700/Muebles;66;?No=1000&Nrpp=16
Muebles y Decohogar;www.falabella.com.pe/falabella-pe/category/cat7040499/Sala;30;?No=464&Nrpp=16
Accesorios;www.falabella.com.pe/falabella-pe/category/cat7230498/Accesorios-Mujer;5;?No=64&Nrpp=16
Mujer;www.falabella.com.pe/falabella-pe/category/cat7720498/Marcas-Destacadas;93;?No=1472&Nrpp=16
Mujer;www.falabella.com.pe/falabella-pe/category/cat7720499/Moda-Juvenil;9;?No=128&Nrpp=16
Mujer;www.falabella.com.pe/falabella-pe/category/cat4100462/Moda-Mujer;77;?No=1000&Nrpp=16
Mujer;www.falabella.com.pe/falabella-pe/category/cat7720500/Ropa-Interior-Mujer;7;?No=96&Nrpp=16
Mujer;www.falabella.com.pe/falabella-pe/category/cat7720501/Solo-Jeans-Mujer;7;?No=96&Nrpp=16
Zapatos;www.falabella.com.pe/falabella-pe/category/cat1470526/Zapatos-Mujer;103;?No=1632&Nrpp=16
Niños;www.falabella.com.pe/falabella-pe/category/cat800486/Dormitorio-Infantil;15;?No=224&Nrpp=16
Niños;www.falabella.com.pe/falabella-pe/category/cat7350533/Juegos-de-Exterior-e-Interior;24;?No=200&Nrpp=16
Niños;www.falabella.com.pe/falabella-pe/category/cat800484/Juguetes-Bebe-y-Preescolares;27;?No=416&Nrpp=16
Niños;www.falabella.com.pe/falabella-pe/category/cat7350551/Juguetes-Ninas;37;?No=576&Nrpp=16
Niños;www.falabella.com.pe/falabella-pe/category/cat7350556/Juguetes-Ninos;33;?No=512&Nrpp=16
Niños;www.falabella.com.pe/falabella-pe/category/cat4900485/Moda-Infantil;61;?No=800&Nrpp=16
Niños;www.falabella.com.pe/falabella-pe/category/cat40497/Mundo-Bebe;40;?No=624&Nrpp=16
Zapatos;www.falabella.com.pe/falabella-pe/category/cat6690522/Marcas-Deportivas;76;?No=1200&Nrpp=16
Zapatos;www.falabella.com.pe/falabella-pe/category/cat6690523/Marcas-Zapatos-Hombre;44;?No=688&Nrpp=16
Zapatos;www.falabella.com.pe/falabella-pe/category/cat6690540/Marcas-Zapatos-Mujer;77;?No=1216&Nrpp=16
Deportes;www.falabella.com.pe/falabella-pe/category/cat1470548/Zapatillas;115;?No=1824&Nrpp=16
Hombre;www.falabella.com.pe/falabella-pe/category/cat1470538/Zapatos-Hombre;67;?No=1056&Nrpp=16
Mujer;www.falabella.com.pe/falabella-pe/category/cat1470526/Zapatos-Mujer;102;?No=1616&Nrpp=16
Zapatos;www.falabella.com.pe/falabella-pe/category/cat6630519/Zapatos-Ninos;27;?No=416&Nrpp=16
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat6370551/TV-LED;5;?No=64&Nrpp=16
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat6370554/4K-Ultra-HD;4;?No=48&Nrpp=16
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat1450500/Curvo;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat790466/LED-Smart-TV;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat6370552/Full-HD;4;?No=48&Nrpp=16
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat6370553/OLED;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat7390472/QLED;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat760706/Smartphones;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat6370542/Celulares-Desbloqueados;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat760724/Fundas-para-Celulares-y-Laminas;4;?No=48&Nrpp=16
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat800590/Cargadores-de-Celulares;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat1830468/Smartwatch;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat800582/Audifonos;10;?No=144&Nrpp=16
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat800584/Parlantes-Bluetooth;5;?No=64&Nrpp=16
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat6370543/Realidad-Virtual;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat6370534/Camaras-Instantaneas;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat830490/Accesorios-Fotografia;3;?No=32&Nrpp=16
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat2060478/Drones;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat6370529/Camaras-Reflex;2;?No=16&Nrpp=16
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat1590516/PS4;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat1590526/PS3;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat1590530/Xbox-One;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat1590538/Wii-U;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat1590546/3DS;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat6270521/Nintendo-Switch;1;
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat100466/Juegos;24;?No=368&Nrpp=16
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat100468/Accesorios-Videojuegos;4;?No=48&Nrpp=16
Electrohogar y Tecnologia;http://www.falabella.com.pe/falabella-pe/category/cat6370558/Electrodomesticos-de-Cocina;30;?No=464&Nrpp=16
