categoria;subcategoria;url;paginas
Ripley Home;;http://simple.ripley.com.pe/ripley-home/otras-marcas/tfal;1
Ripley Home;;http://simple.ripley.com.pe/ripley-home/otras-marcas/magefesa;1
Ripley Home;;http://simple.ripley.com.pe/ripley-home/otras-marcas/ferrand?page=3;3
Ripley Home;;http://simple.ripley.com.pe/ripley-home/otras-marcas/mr-grill?page=3;3
Ripley Home;;http://simple.ripley.com.pe/ripley-home/otras-marcas/magico;1
Ripley Home;;http://simple.ripley.com.pe/ripley-home/otras-marcas/grillcorp?page=2;2
Ripley Home;;http://simple.ripley.com.pe/ripley-home/otras-marcas/cilindro-peruano;1
Ripley Home;;http://simple.ripley.com.pe/ripley-home/otras-marcas/umbra?page=4;4
Ripley Home;;http://simple.ripley.com.pe/ripley-home/otras-marcas/trudeau?page=2;2
Ripley Home;;http://simple.ripley.com.pe/ripley-home/otras-marcas/samsonite-y-saxoline;1
Ripley Home;;http://simple.ripley.com.pe/ripley-home/outlet/ver-todo-outlet?page=3;3
Moda;;http://simple.ripley.com.pe/moda/moda-mujer/todo-moda-mujer?page=5;5
Moda;;http://simple.ripley.com.pe/moda/moda-hombre/todo-moda-hombre?page=2;2
Moda;;http://simple.ripley.com.pe/moda/lenceria-y-pijamas/pijamas;1
Moda;;http://simple.ripley.com.pe/moda/lenceria-y-pijamas/lenceria;1
Moda;;http://simple.ripley.com.pe/deporte/ropa-deportiva-mujer/todo-ropa-deportiva-mujer;1
Moda;;http://simple.ripley.com.pe/deporte/ropa-deportiva-hombre?page=2;2
Moda;;http://simple.ripley.com.pe/deporte/ropa-deportiva-infantil/ninos;1
Moda;;http://simple.ripley.com.pe/deporte/ropa-deportiva-infantil/todo-ropa-deportiva-infantil;1
Moda;Marcas Mujer;http://simple.ripley.com.pe/moda/marcas-mujer/47-street;1
Moda;Marcas Mujer;http://simple.ripley.com.pe/moda/marcas-mujer/index?page=4;4
Moda;Marcas Mujer;http://simple.ripley.com.pe/moda/marcas-mujer/marquis;1
Moda;Marcas Mujer;http://simple.ripley.com.pe/moda/marcas-mujer/metal-jeans;1
Moda;Marcas Mujer;http://simple.ripley.com.pe/moda/marcas-mujer/parada-111;1
Moda;Marcas Mujer;http://simple.ripley.com.pe/moda/marcas-mujer/pionier;1
Moda;Marcas Mujer;http://simple.ripley.com.pe/moda/marcas-mujer/soda;1
Moda;Marcas Hombre;http://simple.ripley.com.pe/moda/marcas-hombre/transformers;1
Moda;Marcas Hombre;http://simple.ripley.com.pe/moda/marcas-hombre?page=3;3
Calzado;Calzado Mujer;http://simple.ripley.com.pe/calzado/calzado-mujer/todo-calzado-mujer?page=11;11
Calzado;Calzado Hombre;http://simple.ripley.com.pe/calzado/calzado-hombre/todo-calzado-hombre?page=11;11
Calzado;Calzado Infantil;http://simple.ripley.com.pe/calzado/calzado-infantil/todo-calzado-infantil?page=9;9
Calzado;Zapatillas Urbanas;http://simple.ripley.com.pe/calzado/zapatillas-urbanas/todo-urbanas?page=20;20
Calzado;Zapatillas Deportivas;http://simple.ripley.com.pe/deporte/zapatillas-deportivas/todo-zapatillas?page=15;15
Calzado;Tendencias;http://simple.ripley.com.pe/calzado/tendencias/zapatillas-cana-alta;1
Calzado;Tendencias;http://simple.ripley.com.pe/calzado/tendencias/zapatillas-estilo-deportivo?page=3;3
Calzado;Tendencias;http://simple.ripley.com.pe/calzado/tendencias/zapatillas-color?page=2;2
Calzado;Tendencias;http://simple.ripley.com.pe/calzado/tendencias/zapatillas-aplicaciones;1
Calzado;Tendencias;http://simple.ripley.com.pe/calzado/tendencias/zapatillas-blancas?page=2;2
Calzado;Marcas;http://simple.ripley.com.pe/calzado/marcas/asics;1
