"fecha","categoria","ecommerce","producto","precio.antes","precio.actual"
"2017-08-29","televisores","ripley","
                      LG SMART TV UHD 43'' 43UJ6300
                    ","Normal: S/ 1,799","Internet: S/ 1,599"
"2017-08-29","televisores","ripley","
                      LG SMART TV OLED UHD 55'' 55B7P
                    ","Normal: S/ 8,599","Internet: S/ 4,999"
"2017-08-29","televisores","ripley","
                      LG SMART TV HD 32'' 32LH570B
                    ","Normal: S/ 1,299","Internet: S/ 999"
"2017-08-29","televisores","ripley","
                      AOC TV 32'' HD LE32M3370
                    ",NA,"Internet: S/ 699"
"2017-08-29","televisores","ripley","
                      AOC SMART TV 49'' FHD LE49D5542
                    ","Normal: S/ 1,499","Internet: S/ 1,249"
"2017-08-29","televisores","ripley","
                      SONY SMART TV LED ULTRA HD 65'' XBR-65X855D
                    ","Normal: S/ 9,999","Internet: S/ 4,899"
"2017-08-29","televisores","ripley","
                      SAMSUNG SMART TV SUHD 55'' CURVO 55KS9000
                    ","Normal: S/ 10,999","Internet: S/ 4,999"
"2017-08-29","televisores","ripley","
                      LG SMART TV UHD 70"" 70UH6350
                    ","Normal: S/ 11,999","Internet: S/ 6,499"
"2017-08-29","televisores","ripley","
                      SAMSUNG SMART TV SUHD 55¬<U+0094> CURVO 55KS7500
                    ","Normal: S/ 7,599","Internet: S/ 2,999"
"2017-08-29","televisores","ripley","
                      LG SMART TV UHD 50"" 50UH6300
                    ","Normal: S/ 3,499","Internet: S/ 1,799"
"2017-08-29","televisores","ripley","
                      LG SMART TV SUPER UHD 65'' 65SJ9500
                    ","Normal: S/ 12,999","Internet: S/ 6,499"
"2017-08-29","televisores","ripley","
                      LG SMART TV SUPER UHD 55'' 55SJ8000
                    ","Normal: S/ 8,199","Internet: S/ 4,999"
"2017-08-29","televisores","ripley","
                      LG SMART TV SUPER UHD 65'' 65SJ8000
                    ","Normal: S/ 7,699","Internet: S/ 5,999"
"2017-08-29","televisores","ripley","
                      LG SMART TV UHD 65'' 65UJ6510
                    ","Normal: S/ 6,299","Internet: S/ 4,999"
"2017-08-29","televisores","ripley","
                      SONY SMART TV UHD 65'' XBR-65X905E
                    ","Normal: S/ 9,999","Internet: S/ 6,499"
"2017-08-29","televisores","ripley","
                      LG SMART TV SUPER UHD 86'' 86SJ9570
                    ","Normal: S/ 24,999","Internet: S/ 19,999"
"2017-08-29","televisores","ripley","
                      LG TV FHD 43'' 43LJ5000
                    ","Normal: S/ 1,499","Internet: S/ 1,299"
"2017-08-29","televisores","ripley","
                      SAMSUNG SMART TV FHD 40‚<U+0080>ù 40J5500
                    ","Normal: S/ 1,999","Internet: S/ 1,399"
"2017-08-29","televisores","ripley","
                      SAMSUNG SMART TV SUHD 65"" CURVO 65KS7500
                    ","Normal: S/ 13,599","Internet: S/ 6,999"
"2017-08-29","televisores","ripley","
                      SONY SMART TV UHD 65"" XBR-65X755D
                    ","Normal: S/ 6,999","Internet: S/ 4,699"
"2017-08-29","televisores","ripley","
                      HAIER TV FHD 50'' LE50B8000
                    ","Normal: S/ 1,999","Internet: S/ 999"
"2017-08-29","televisores","ripley","
                      SONY SMART TV UHD 55'' XBR-55X805E
                    ","Normal: S/ 4,999","Internet: S/ 2,999"
"2017-08-29","televisores","ripley","
                      LG SMART TV UHD 75'' 75UJ6580
                    ","Normal: S/ 11,999","Internet: S/ 8,999"
"2017-08-29","televisores","ripley","
                      SONY SMART TV UHD 49'' XBR-49X805E
                    ","Normal: S/ 3,799","Internet: S/ 2,899"
"2017-08-29","televisores","ripley","
                      SONY SMART TV UHD 55'' XBR-55X905E
                    ","Normal: S/ 6,499","Internet: S/ 3,799"
"2017-08-29","televisores","ripley","
                      LG SMART TV 43'' UHD 43UH6030
                    ","Normal: S/ 2,199","Internet: S/ 1,599"
"2017-08-29","televisores","ripley","
                      SONY SMART TV UHD 85"" XBR-85X855D
                    ","Normal: S/ 24,999","Internet: S/ 16,999"
"2017-08-29","televisores","ripley","
                      LG SMART TV OLED 4K 55"" OLED55B6P
                    ","Normal: S/ 11,999","Internet: S/ 8,399"
"2017-08-29","televisores","ripley","
                      LG TV HD 24'' MT48AF
                    ","Normal: S/ 449","Internet: S/ 299"
