"fecha","subcategoria","ecommerce","marca","producto","precio.antes","precio.actual"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Mujer Acero Gr...","S/ 619","S/ 495.20"
"2017-09-13","Accesorios-Hombre","Falabella","Bulova","Reloj Hombre Resina ...","S/ 4,899","S/ 3,919.20"
"2017-09-13","Accesorios-Hombre","Falabella","Mulco","Reloj Mujer Resina N...","S/ 2,299","S/ 1,379.40"
"2017-09-13","Accesorios-Hombre","Falabella","Stührling","Reloj Hombre Acero I...","S/ 999","S/ 499.50"
"2017-09-13","Accesorios-Hombre","Falabella","Casio","Reloj Resina Hombre","S/ 639","S/ 415.35"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Hombre Acero P...","S/ 1,209","S/ 967.20"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Cuero Ne...","S/ 679","S/ 407.40"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Mujer Acero Pl...","S/ 569","S/ 455.20"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Hombre Acero A...","S/ 1,229","S/ 983.20"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Hombre Cuero M...","S/ 599","S/ 359.40"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj de Acero para ...","S/ 1,059","S/ 615.30"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Or...","S/ 1,229","S/ 829"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Do...","S/ 1,229","S/ 829"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Hombre Acero P...","S/ 1,349","S/ 999"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Hombre Acero P...","S/ 1,349","S/ 999"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Or...","S/ 1,109","S/ 799"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Pl...","S/ 1,109","S/ 799"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Az...","S/ 1,109","S/ 799"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Pl...","S/ 1,229","S/ 983.20"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Pl...","S/ 1,229","S/ 983.20"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Or...","S/ 1,229","S/ 983.20"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Hombre Acero M...","S/ 579","S/ 405.30"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Mujer Acero Pl...","S/ 569","S/ 455.20"
